"Gross enrolment ratio, pre-primary (% of preschool-age children)"
"Dimension: Education"
"SDG 4.2 By 2030, ensure that all girls and boys have access to quality early childhood development,care and pre-primary education so that they are ready for primary education"
"Definition: Total enrolment in a given level of education (pre-primary, primary, secondary or tertiary), regardless of age, expressed as a percentage of the official school-age population for the same level of education."
"Source: UNESCO (United Nations Educational, Scientific and Cultural Organization) Institute for Statistics (2020). Data Centre. http://data.uis.unesco.org. Accessed 21 July 2020."
""
"HDI Rank","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019","","2014-2019",""
"69"," Albania","56","","37","","44","","51","","65","","70","","77","","82","","83","","86","","88","","84","","80","","..","","80","a"
"91"," Algeria","..","","2","","3","","6","","84","","79","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"148"," Angola","15","","..","","..","","..","","86","","73","","..","","..","","..","","..","","40","","..","","..","","..","","40","a"
"78"," Antigua and Barbuda","..","","..","","55","","..","","94","","92","","96","","..","","..","","..","","..","","73","","70","","..","","70","a"
"46"," Argentina","..","","..","","59","","64","","69","","69","","71","","72","","73","","75","","75","","76","","..","","..","","76","a"
"81"," Armenia","48","","32","","26","","32","","37","","52","","55","","50","","49","","52","","51","","51","","38","","..","","38","a"
"8"," Australia","71","","94","","..","","87","","79","","95","","108","","109","","114","","124","","167","","165","","..","","..","","165","a"
"18"," Austria","72","","79","","80","","89","","101","","101","","104","","100","","101","","103","","104","","104","","..","","..","","104","a"
"88"," Azerbaijan","21","","19","","19","","25","","26","","27","","25","","26","","23","","24","","23","","36","","40","","..","","40","a"
"58"," Bahamas","..","","..","","16","","..","","..","","36","","40","","30","","37","","29","","32","","35","","35","","..","","35","a"
"42"," Bahrain","..","","35","","34","","38","","50","","51","","51","","54","","57","","56","","55","","54","","54","","..","","54","a"
"133"," Bangladesh","..","","..","","18","","11","","13","","26","","..","","33","","..","","32","","36","","42","","41","","..","","41","a"
"58"," Barbados","..","","..","","69","","84","","78","","76","","..","","..","","88","","91","","88","","89","","87","","..","","87","a"
"53"," Belarus","95","","83","","86","","104","","102","","105","","103","","104","","102","","100","","98","","98","","99","","..","","99","a"
"14"," Belgium","103","","118","","110","","119","","119","","121","","120","","119","","118","","117","","116","","115","","..","","..","","115","a"
"110"," Belize","23","","28","","26","","28","","43","","43","","46","","49","","50","","50","","50","","49","","47","","..","","47","a"
"158"," Benin","3","","3","","6","","6","","17","","19","","19","","20","","21","","24","","25","","..","","25","","..","","25","a"
"129"," Bhutan","..","","1","","1","","1","","2","","6","","10","","14","","19","","23","","28","","29","","34","","..","","34","a"
"107"," Bolivia (Plurinational State of)","32","","38","","49","","52","","47","","54","","59","","63","","67","","70","","74","","74","","74","","..","","74","a"
"100"," Botswana","..","","..","","..","","16","","..","","..","","15","","18","","20","","21","","..","","..","","..","","..","","21","a"
"84"," Brazil","..","","..","","..","","..","","..","","54","","56","","86","","90","","90","","96","","96","","..","","..","","96","a"
"47"," Brunei Darussalam","..","","52","","47","","59","","67","","68","","70","","70","","71","","69","","68","","67","","65","","..","","65","a"
"56"," Bulgaria","69","","60","","70","","84","","80","","81","","80","","80","","80","","80","","77","","77","","..","","..","","77","a"
"182"," Burkina Faso","1","","1","","..","","..","","3","","3","","4","","4","","4","","4","","3","","4","","4","","..","","4","a"
"185"," Burundi","..","","..","","1","","2","","11","","8","","8","","9","","11","","14","","14","","14","","15","","..","","15","a"
"126"," Cabo Verde","..","","..","","..","","66","","68","","73","","70","","71","","71","","75","","76","","74","","73","","..","","73","a"
"144"," Cambodia","6","","5","","6","","11","","13","","12","","15","","15","","18","","18","","19","","22","","24","","..","","24","a"
"153"," Cameroon","12","","10","","13","","18","","25","","27","","30","","..","","34","","37","","39","","36","","34","","..","","34","a"
"16"," Canada","62","","64","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"188"," Central African Republic","..","","..","","..","","3","","..","","5","","..","","..","","..","","..","","..","","3","","..","","..","","3","a"
"187"," Chad","..","","0","","..","","..","","2","","2","","1","","..","","..","","1","","1","","..","","..","","..","","1","a"
"43"," Chile","83","","97","","79","","82","","108","","113","","114","","79","","82","","82","","82","","82","","..","","..","","82","a"
"85"," China","21","","25","","45","","..","","54","","60","","68","","73","","76","","79","","82","","85","","88","","..","","88","a"
"83"," Colombia","..","","28","","40","","44","","54","","56","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"156"," Comoros","..","","..","","2","","..","","..","","..","","..","","23","","21","","..","","..","","20","","22","","..","","22","a"
"149"," Congo","3","","1","","3","","7","","11","","12","","13","","..","","..","","..","","..","","..","","..","","..","","..",""
"175"," Congo (Democratic Republic of the)","..","","..","","..","","..","","3","","4","","4","","4","","4","","4","","..","","..","","..","","..","","4","a"
"62"," Costa Rica","29","","34","","46","","72","","77","","78","","78","","79","","81","","79","","78","","81","","98","","..","","98","a"
"43"," Croatia","28","","36","","52","","46","","62","","63","","63","","62","","62","","64","","64","","70","","..","","..","","70","a"
