"Inequality-adjusted education index"
"Dimension: Inequality"
"Definition: HDI education index value adjusted for inequality in distribution of years of schooling based on data from household surveys listed in Main data sources."
"Source: Calculated based on inequality in education and the HDI education index."
""
"HDI Rank","Country","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019",""
"29"," Estonia","0.845","","0.852","","0.854","","0.853","","0.849","","0.858","","0.861","","0.860","","0.863","","0.862",""
"138"," Eswatini (Kingdom of)","0.309","","0.357","","0.362","","0.382","","0.389","","0.393","","0.411","","0.414","","0.420","","0.423",""
"173"," Ethiopia","0.188","","0.193","","0.194","","0.178","","0.180","","0.207","","0.208","","0.188","","0.189","","0.193",""
"93"," Fiji","0.644","","..","","..","","0.665","","0.674","","0.682","","..","","..","","..","","..",""
"11"," Finland","0.854","","0.882","","0.882","","0.906","","0.902","","0.904","","0.905","","0.908","","0.906","","0.907",""
"26"," France","0.712","","0.715","","0.717","","0.732","","0.747","","0.751","","0.739","","0.741","","0.738","","0.740",""
"119"," Gabon","0.556","","0.560","","0.564","","0.468","","0.472","","0.476","","0.480","","0.484","","0.489","","0.498",""
"172"," Gambia","0.185","","..","","..","","..","","..","","..","","0.189","","0.193","","0.198","","0.213",""
"61"," Georgia","0.739","","0.753","","0.764","","0.777","","0.789","","0.813","","0.817","","0.826","","0.824","","0.826",""
"6"," Germany","0.904","","0.913","","0.916","","0.908","","0.910","","0.910","","0.913","","0.914","","0.917","","0.922",""
"138"," Ghana","0.487","","0.315","","0.313","","0.347","","0.345","","0.350","","0.362","","0.362","","0.363","","0.365",""
"32"," Greece","0.747","","0.681","","0.714","","0.721","","0.734","","0.735","","0.707","","0.724","","0.727","","0.755",""
"127"," Guatemala","0.279","","0.283","","0.288","","0.289","","0.325","","0.327","","0.332","","0.332","","0.353","","0.359",""
"178"," Guinea","0.166","","0.179","","0.187","","0.193","","0.176","","0.177","","0.179","","0.180","","0.181","","0.176",""
"175"," Guinea-Bissau","0.215","","0.221","","0.225","","0.229","","0.235","","0.238","","0.232","","0.233","","0.233","","0.240",""
"122"," Guyana","0.519","","0.522","","0.529","","0.531","","0.534","","0.536","","0.536","","0.537","","0.537","","0.536",""
"170"," Haiti","0.237","","0.241","","0.244","","0.249","","0.261","","0.266","","0.270","","0.275","","0.282","","0.286",""
"132"," Honduras","0.329","","0.327","","0.340","","0.334","","0.353","","0.362","","0.379","","0.383","","0.366","","0.382",""
"4"," Hong Kong, China (SAR)","..","","..","","..","","..","","..","","..","","0.764","","0.775","","0.786","","0.793",""
"40"," Hungary","0.796","","0.781","","0.784","","0.805","","0.795","","0.798","","0.793","","0.790","","0.793","","0.796",""
"4"," Iceland","0.831","","0.845","","0.861","","0.875","","0.885","","0.884","","0.888","","0.888","","0.892","","0.900",""
"131"," India","0.284","","0.292","","0.291","","0.297","","0.307","","0.328","","0.329","","0.342","","0.339","","0.340",""
"107"," Indonesia","0.461","","0.476","","0.483","","0.472","","0.487","","0.492","","0.503","","0.532","","0.525","","0.545",""
"70"," Iran (Islamic Republic of)","..","","..","","..","","0.463","","0.463","","0.463","","..","","0.712","","0.712","","0.719",""
"123"," Iraq","..","","..","","0.339","","0.351","","0.348","","0.351","","0.358","","0.394","","0.389","","0.392",""
"2"," Ireland","0.829","","0.834","","0.849","","0.846","","0.861","","0.883","","0.891","","0.891","","0.885","","0.892",""
"19"," Israel","0.792","","0.802","","0.806","","0.805","","0.792","","0.806","","0.807","","0.817","","0.848","","0.834",""
"29"," Italy","0.686","","0.698","","0.684","","0.693","","0.702","","0.706","","0.695","","0.703","","0.704","","0.709",""
"101"," Jamaica","0.634","","0.632","","0.613","","0.609","","0.643","","0.648","","0.648","","0.653","","0.652","","0.651",""
"19"," Japan","..","","..","","..","","0.666","","0.672","","0.673","","0.679","","..","","0.836","","0.812",""
