"Private capital flows (% of GDP)"
"Dimension: Trade and financial flows"
"Definition: Net foreign direct investment and portfolio investment, expressed as a percentage of GDP."
"Source: HDRO calculations based on data from World Bank (2020a). World Development Indicators database. Washington, DC. http://data.worldbank.org. Accessed on 22 July 2020."
""
"HDI Rank","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019","","2010-2019",""
"144"," Cambodia","..","","..","","-3.7","","-5.9","","-12.0","","-11.7","","-13.6","","-13.1","","-10.5","","-9.5","","-12.0","","-12.0","","-12.4","","-13.3","","-13.3","a"
"153"," Cameroon","0.6","","0.2","","-1.5","","-1.4","","-0.4","","-1.4","","-2.8","","-2.0","","-1.9","","-4.3","","-2.0","","-2.3","","-1.6","","..","","-1.6","a"
"16"," Canada","-2.7","","-1.8","","1.4","","3.0","","-6.4","","-5.2","","-3.0","","-2.5","","-1.8","","-0.9","","-4.6","","-1.5","","0.5","","1.3","","1.3","a"
"43"," Chile","-3.1","","-3.0","","-1.9","","-2.0","","-0.1","","-6.1","","-2.0","","-5.6","","-5.7","","-2.6","","-1.9","","0.8","","-1.9","","..","","-1.9","a"
"85"," China","-0.7","","-4.7","","-2.8","","-3.7","","-3.4","","-3.3","","-2.6","","-2.8","","-2.2","","-0.0","","0.8","","-0.5","","-1.4","","-0.8","","-0.8","a"
"83"," Colombia","-1.0","","-2.3","","-2.3","","-2.7","","-0.3","","-3.7","","-5.5","","-4.2","","-6.3","","-5.7","","-5.0","","-3.8","","-1.5","","-3.3","","-3.3","a"
"156"," Comoros","..","","..","","..","","-0.1","","-0.9","","..","","..","","..","","..","","..","","..","","..","","..","","..","","-0.9","a"
"149"," Congo","..","","-5.7","","-4.9","","-8.4","","-7.9","","-1.3","","2.1","","-3.7","","-11.2","","-43.3","","12.3","","..","","..","","..","","12.3","a"
"175"," Congo (Democratic Republic of the)","..","","..","","..","","-1.3","","2.3","","2.1","","2.2","","-5.2","","-4.1","","-2.8","","-2.5","","-2.7","","-2.7","","..","","-2.7","a"
"62"," Costa Rica","-2.3","","-2.7","","-3.0","","-6.2","","-4.9","","-6.1","","-8.5","","-9.3","","-6.7","","-5.7","","-4.4","","-5.1","","-1.9","","-5.5","","-5.5","a"
"43"," Croatia","..","","-0.5","","-7.9","","-0.1","","-2.5","","-3.5","","-6.8","","-6.3","","-0.0","","-0.9","","-1.4","","-1.6","","0.2","","-0.6","","-0.6","a"
"33"," Cyprus","-1.5","","-0.9","","-4.0","","-3.0","","4.9","","-15.1","","-7.9","","-56.5","","42.7","","66.0","","-29.5","","-9.6","","-21.9","","-23.0","","-23.0","a"
"27"," Czechia","..","","-6.5","","-5.2","","-6.0","","-6.1","","-1.3","","-4.3","","-2.1","","0.2","","-2.5","","-7.5","","-5.5","","-0.4","","-3.2","","-3.2","a"
"162"," Côte d'Ivoire","..","","..","","..","","-1.8","","-3.1","","-1.5","","-1.7","","-1.9","","-3.8","","-3.2","","-2.4","","-3.2","","-3.6","","..","","-3.6","a"
"10"," Denmark","-1.8","","-4.0","","6.2","","6.1","","3.9","","-0.4","","5.8","","-1.6","","3.9","","-3.8","","-0.5","","1.9","","13.2","","4.8","","4.8","a"
"94"," Dominica","-6.2","","-16.8","","-9.4","","-6.3","","-3.8","","-2.4","","-5.0","","-0.3","","2.2","","-8.2","","-7.8","","-3.2","","-0.8","","..","","-0.8","a"
"88"," Dominican Republic","..","","-2.5","","-5.0","","-3.8","","-5.2","","-5.2","","-4.4","","-6.0","","-5.5","","-8.0","","-5.5","","-6.7","","-6.1","","-5.9","","-5.9","a"
"86"," Ecuador","..","","-25.7","","9.5","","-2.1","","0.8","","-0.9","","-0.7","","0.2","","-2.2","","-2.8","","-2.9","","-6.8","","-3.8","","-3.0","","-3.0","a"
"116"," Egypt","-1.7","","-0.9","","-1.5","","-9.8","","-7.2","","5.0","","-0.2","","-2.4","","-0.7","","-2.0","","-2.6","","-13.2","","-2.4","","-6.3","","-6.3","a"
"124"," El Salvador","..","","-1.2","","-1.3","","-3.6","","1.9","","-1.6","","-6.3","","-0.9","","-4.9","","-1.9","","-2.9","","-4.8","","-2.7","","-2.6","","-2.6","a"
"29"," Estonia","..","","-3.9","","-7.3","","0.2","","-4.6","","-17.6","","-1.5","","1.9","","-0.0","","3.2","","9.0","","7.2","","-1.2","","-3.1","","-3.1","a"
"138"," Eswatini (Kingdom of)","-1.8","","-1.3","","-4.2","","0.6","","-4.2","","1.1","","4.1","","-4.4","","1.2","","1.6","","-1.2","","4.6","","-2.7","","-0.5","","-0.5","a"
"93"," Fiji","..","","..","","..","","-5.0","","-5.5","","-4.5","","-5.6","","-4.9","","-6.8","","-3.2","","-7.7","","-6.5","","-7.9","","-6.8","","-6.8","a"
"11"," Finland","-2.3","","1.5","","13.2","","3.5","","6.5","","-3.1","","-3.3","","-2.6","","-4.6","","-9.6","","5.4","","-2.3","","-3.4","","-11.7","","-11.7","a"
"26"," France","-1.0","","-0.8","","7.1","","2.4","","-4.5","","-11.0","","-1.3","","-3.3","","0.7","","2.1","","1.7","","1.4","","2.2","","-3.7","","-3.7","a"
"119"," Gabon","..","","6.0","","1.6","","-1.8","","-1.9","","-5.9","","1.4","","-5.1","","-4.7","","-1.2","","..","","..","","..","","..","","-1.2","a"
"61"," Georgia","..","","..","","-4.3","","-8.7","","-8.0","","-7.4","","-9.7","","-5.1","","-9.3","","-8.5","","-8.5","","-9.9","","-5.0","","-9.5","","-9.5","a"
"6"," Germany","1.3","","-0.3","","0.1","","2.3","","6.3","","-1.1","","2.8","","6.3","","6.8","","8.3","","7.7","","7.5","","4.9","","4.4","","4.4","a"
