,gender,year,avg_sleep
0,men,2003,8.48
1,men,2004,8.48
2,men,2005,8.53
3,men,2006,8.56
4,men,2007,8.52
5,men,2008,8.56
6,men,2009,8.62
7,men,2010,8.56
8,men,2011,8.62
9,men,2012,8.6
10,men,2013,8.65
11,men,2014,8.69
12,men,2015,8.77
13,men,2016,8.69
14,men,2017,8.7
15,men,2018,8.75
16,men,2019,8.76
