,gender,year,avg_sleep
0,women,2003,8.65
1,women,2004,8.61
2,women,2005,8.71
3,women,2006,8.69
4,women,2007,8.63
5,women,2008,8.64
6,women,2009,8.73
7,women,2010,8.76
8,women,2011,8.8
9,women,2012,8.86
10,women,2013,8.82
11,women,2014,8.9
12,women,2015,8.9
13,women,2016,8.88
14,women,2017,8.9
15,women,2018,8.87
16,women,2019,8.91
