Survey year,Age of reference,Paid work or study,paid work (all jobs),travel to and from work/study,time in school or classes,research/homework,job search,other paid work or study-related,Unpaid work,routine housework,shopping,care for household members,child care,adult care,care for non household members,volunteering,travel related to household activities,other unpaid,Personal care,sleeping,eating & drinking,"personal, household, and medical services + travel related to personal care",Leisure,sports,participating / attending events,visiting or entertaining friends,TV or radio at home,Other leisure activities,Other,religious / spiritual activities and civic obligations,other (no categories),Total
2008,15-64,249,193,25,29,1.0,1.0,1.0,269,170,26,47,45.0,2.0,1.0,3,21.0,2.0,641,501,81,58,274,30,9,83,101,52,7,2,5,1440
2013,15-64,199,134,24,25,16.0,0.0,0.0,237,153,34,29,29.0,0.0,3.0,2,16.0,0.0,677,519,101,57,317,16,13,54,122,111,9,3,7,1440
2015,15-64,268,206,25,20,16.0,1.0,0.0,224,134,29,39,37.0,2.0,5.0,4,12.0,0.0,653,527,65,61,260,17,6,54,100,83,36,5,31,1440
2001,15-64,195,147,18,19,10.0,0.0,0.0,243,145,30,35,0.0,0.0,9.0,2,22.0,0.0,673,497,120,57,320,20,8,87,115,90,10,5,4,1440
2009,15-64,245,191,29,24,1.0,0.0,0.0,249,147,27,42,42.0,0.0,8.0,0,25.0,0.0,663,528,77,59,278,23,8,40,107,100,4,2,3,1440
2009,15-64,210,157,20,31,0.0,0.0,2.0,236,134,29,32,31.0,1.0,5.0,3,23.0,10.0,651,512,81,58,304,35,8,60,101,99,40,1,39,1440
2009,15-64,175,118,20,24,12.0,1.0,0.0,224,157,26,30,29.0,1.0,3.0,0,7.0,1.0,761,516,131,113,270,7,14,58,104,87,10,3,7,1440
2012,15-64,205,154,24,14,9.0,1.0,3.0,242,139,37,26,25.0,1.0,7.0,5,24.0,4.0,659,503,97,59,316,25,14,63,111,103,18,3,15,1440
2013,15-64,185,120,22,24,20.0,0.0,0.0,259,193,18,25,25.0,0.0,9.0,0,14.0,0.0,679,498,122,60,311,23,6,55,126,102,7,4,3,1440
2010,15-64,203,141,24,25,13.0,0.0,0.0,294,196,22,47,47.0,0.0,8.0,0,21.0,0.0,679,508,97,74,257,10,6,34,123,85,8,2,5,1440
2005,15-64,195,140,20,35,0.0,0.0,0.0,293,134,39,93,0.0,0.0,0.0,7,20.0,0.0,623,501,75,48,287,17,34,55,76,105,42,7,36,1440
2013,15-64,133,84,16,12,16.0,1.0,3.0,306,205,32,35,33.0,3.0,8.0,2,23.0,0.0,705,512,125,68,281,33,5,58,90,95,14,8,6,1440
2016,15-64,272,203,33,36,,0.0,0.0,224,148,35,0,32.0,6.0,,4,,0.0,626,435,96,96,266,7,0,18,103,137,51,0,51,1440
2014,15-64,269,174,41,35,19.0,0.0,0.0,215,130,20,44,0.0,0.0,1.0,1,18.0,0.0,680,471,115,94,244,23,5,46,103,67,32,12,20,1440
2003,15-64,288,242,31,11,5.0,0.0,0.0,253,170,20,25,25.0,0.0,10.0,0,28.0,0.0,644,515,85,43,249,20,4,35,108,81,5,3,3,1440
2003,20-64,279,241,26,9,4.0,0.0,0.0,292,207,21,30,30.0,0.0,11.0,0,22.0,0.0,645,504,85,56,215,13,2,32,115,54,9,3,6,1440
