id,weight,survey_start_time,survey_finish_time,duration(minutes),DeviceType2,order,health_rating,life_quality_rating,physical_health_rating,mental_health_rating,bed_time_hour_weekday,bed_time_15mins_weekday,am/pm_bed_time,wake_up_hour_weekday,wake_up_15_mins_weekday,am/pm_wake_up_weekday,min_in_bed_weekday,bed_time_hour_weekends,bed_time_15min_weekends,am/pm_bed_time_weekend,wake_up_hour_weekends,wake_up_15min_weekends,am/pm_wake_up_weekend,min_in_bed_weekend,hours_sleep_weekday,mins_sleep_weekday,hours_sleep_weekend,mins_sleep_weekend,mins_sleep_weekday,mins_sleep_weekend,Q7_Hours,Q7_Minutes,Q8_a,Q8_b,Q8_c,Q8_d,Q9_a,Q9_b,Q9_c,Q10_a,Q11,Q11A_a,Q11A_b,Q11A_c,Q11A_d,Q11A_e,Q12_a,Q12_b,Q13_a,Q13_a_3,Q13_b,Q14order,Q14_a,Q14_b,Q14_c,Q14_d,Q14_e,Q14a,Q15_a,Q15_b,Q15_c,Q15_d,Q15_e,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23_a,Q23_b,Q23_c,Q24_a,Q24_b,Q24_c,Q24_d,Q24_e,Q24_f,Q25_a,Q25_b,Q25_c,Q25_A2,Q26,Q27,Q28_a,Q28_b,Q28_c,Q28_d,Q28_e,Q28_f,Q28_g,Q28_h,Q28_i,Q28_j,Q28_k,Q29,Q30_a,Q30_b,Q30_c,Q31
224,0.5263,05-Dec-2014 22:22:23,05-Dec-2014 23:11:35,49,9,"a,b",4,3,4,3,11,1,2,7,2,1,495.0,11,1,2,8,1,1,540.0,7,1,7,1,420.0,420.0,8,1,3,3,1,1,3,1,1,4,5.0,2.0,2.0,2.0,3.0,2.0,2,1,2,1,2,"a,b,e,d,c",3,3,1,2,4,2,1,1,1,1,1,3,3,2,2,2,4,1,1.0,2.0,2.0,3,3,2,2,2,3,3,3,2,6.0,2.0,,,,,,,,,,,,,,1,1,1,1
225,0.8893,05-Dec-2014 22:22:56,05-Dec-2014 22:31:33,8,9,"a,b",3,3,3,4,9,3,2,6,1,1,510.0,9,3,2,6,1,1,510.0,7,1,7,1,420.0,420.0,8,1,2,2,3,2,3,3,4,3,5.0,2.0,2.0,2.0,2.0,2.0,2,1,3,2,4,"a,b,c,d,e",3,2,4,4,4,2,1,1,1,1,2,2,2,2,1,2,3,2,,,,2,3,3,3,2,2,1,1,1,,,,,,,,,,,,,,,,2,2,2,2
226,0.9884,05-Dec-2014 22:25:05,05-Dec-2014 22:35:02,9,9,"b,a",4,4,4,3,4,1,1,12,1,2,480.0,4,1,1,1,1,2,540.0,7,1,8,1,420.0,480.0,8,1,3,4,2,2,3,2,2,4,5.0,2.0,3.0,3.0,2.0,3.0,1,2,2,1,3,"a,b,e,d,c",3,3,3,2,3,2,2,2,2,2,2,3,4,1,4,2,4,2,,,,3,3,2,3,2,2,3,3,2,7.0,2.0,,,,,,,,,,,,,,1,3,2,2
227,1.2284,05-Dec-2014 22:27:05,05-Dec-2014 22:50:18,23,9,"b,a",3,3,3,3,8,1,2,4,1,1,480.0,8,1,2,4,1,1,480.0,7,1,8,1,420.0,480.0,6,1,3,2,1,1,3,2,2,3,5.0,2.0,3.0,4.0,3.0,3.0,1,2,2,1,3,"a,b,d,c,e",3,3,4,1,2,1,1,1,1,1,1,3,2,2,3,4,4,2,,,,3,2,2,4,2,3,4,3,1,8.0,2.0,,,,,,,,,,,,,,1,1,1,2
228,0.9,05-Dec-2014 22:27:47,05-Dec-2014 22:41:45,13,9,"b,a",2,1,2,1,11,1,2,7,1,1,480.0,11,1,2,7,2,1,495.0,7,1,7,1,420.0,420.0,6,1,4,4,1,2,4,2,2,3,,,,,,,1,1,2,1,2,"a,b,e,d,c",4,4,4,2,3,2,1,1,1,1,1,2,3,1,2,3,4,2,,,,3,1,2,3,1,3,1,1,2,,,,,,,,,,,,,,,,1,1,1,2
229,0.869,05-Dec-2014 22:28:29,05-Dec-2014 22:37:23,8,9,"a,b",1,2,1,2,2,2,1,11,1,1,525.0,2,3,1,11,1,1,510.0,5,1,5,1,300.0,300.0,7,1,1,1,5,5,2,4,5,2,5.0,2.0,2.0,2.0,2.0,2.0,1,1,3,2,2,"a,b,e,d,c",2,2,1,3,4,1,2,2,2,2,2,2,4,3,3,1,4,2,,,,4,4,4,4,4,4,1,1,1,,,,,,,,,,,,,,,,1,1,1,1
230,1.4663,05-Dec-2014 22:29:47,05-Dec-2014 22:49:52,20,9,"a,b",1,1,1,1,11,1,2,7,1,1,480.0,11,1,2,8,1,1,540.0,7,4,8,4,465.0,525.0,8,1,5,5,1,1,5,1,1,5,,,,,,,1,1,1,1,2,"a,b,e,c,d",4,4,5,2,2,1,2,1,1,2,1,1,1,1,3,2,4,2,,,,3,3,3,3,2,2,1,1,1,,,,,,,,,,,,,,,,1,1,1,1
231,1.0034,05-Dec-2014 22:30:58,05-Dec-2014 22:44:14,13,9,"a,b",3,5,5,5,2,1,1,10,1,1,480.0,2,1,1,10,1,1,480.0,10,1,10,1,600.0,600.0,8,1,5,4,1,3,4,3,3,5,5.0,2.0,2.0,4.0,4.0,4.0,2,4,3,2,2,"a,b,e,c,d",4,2,5,2,4,4,1,1,2,5,4,3,4,2,3,1,2,1,1.0,1.0,2.0,3,1,2,1,1,3,2,2,1,3.0,1.0,5.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1,1,1,2
232,1.6589,05-Dec-2014 22:33:42,05-Dec-2014 22:48:27,14,6,"b,a",3,3,4,3,11,2,2,6,1,1,405.0,12,3,1,8,4,1,495.0,6,3,8,1,390.0,480.0,7,1,3,3,2,1,4,3,2,3,1.0,3.0,3.0,3.0,4.0,4.0,1,2,2,1,2,"a,b,e,c,d",4,4,4,2,5,2,3,3,5,5,3,2,1,1,2,2,4,2,,,,2,3,2,3,3,3,2,2,2,3.0,2.0,,,,,,,,,,,,,,1,1,1,2
233,0.8601,05-Dec-2014 22:36:34,05-Dec-2014 22:43:01,6,6,"a,b",3,2,3,3,12,1,1,7,4,1,465.0,1,1,1,9,1,1,480.0,6,1,7,1,360.0,420.0,6,1,3,2,2,2,3,4,3,3,5.0,2.0,3.0,3.0,3.0,3.0,1,1,3,2,2,"a,b,e,c,d",3,3,3,2,3,2,2,2,2,3,3,4,3,3,3,3,3,2,,,,3,3,3,3,3,3,2,2,1,3.0,2.0,,,,,,,,,,,,,,1,1,1,2
234,0.6037,05-Dec-2014 22:37:52,05-Dec-2014 22:45:53,8,9,"a,b",2,2,2,1,10,-1,2,4,-1,1,360.0,11,1,2,7,1,1,480.0,6,1,6,1,360.0,360.0,5,1,3,4,2,1,4,2,2,4,1.0,4.0,4.0,4.0,4.0,4.0,1,1,1,1,1,"a,b,e,c,d",4,4,5,1,2,2,1,1,1,3,1,2,2,1,4,3,4,2,,,,4,3,4,4,4,3,1,1,1,,,,,,,,,,,,,,,,1,1,1,2
235,0.8201,05-Dec-2014 22:42:37,05-Dec-2014 23:16:45,34,9,"b,a",5,5,5,3,1,2,1,6,1,1,285.0,2,3,1,6,3,1,240.0,3,1,3,1,180.0,180.0,8,1,1,1,1,1,1,4,5,1,5.0,3.0,2.0,2.0,3.0,3.0,4,1,4,3,4,"a,b,c,e,d",2,2,2,4,5,4,3,4,2,3,3,3,2,2,3,1,3,2,,,,3,3,2,3,2,2,4,3,2,8.0,1.0,5.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2,4,3,3
236,0.7771,05-Dec-2014 22:47:30,05-Dec-2014 22:59:51,12,9,"b,a",3,2,3,2,11,1,2,5,1,1,360.0,12,1,1,6,1,1,360.0,5,3,5,3,330.0,330.0,5,1,4,4,1,1,4,1,1,4,,,,,,,1,1,2,1,3,"a,b,c,e,d",4,4,4,2,2,1,2,1,1,2,2,3,3,2,4,2,4,2,,,,3,3,3,3,3,3,2,2,1,5.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,1,1,1,3
237,0.5547,05-Dec-2014 22:48:05,05-Dec-2014 22:58:04,9,1,"a,b",4,4,4,4,2,1,1,11,1,1,540.0,2,1,1,11,1,1,540.0,6,1,6,1,360.0,360.0,8,1,3,2,2,3,1,4,4,3,5.0,3.0,1.0,1.0,3.0,2.0,4,1,2,1,4,"a,b,e,d,c",1,2,4,5,4,5,2,3,2,3,3,2,4,3,1,1,1,1,1.0,2.0,2.0,1,1,1,1,1,1,5,4,3,10.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4,3,5,2
238,1.1845,05-Dec-2014 22:48:43,05-Dec-2014 22:59:13,10,9,"b,a",3,2,2,2,10,1,2,7,1,1,540.0,10,1,2,7,1,1,540.0,7,1,6,1,420.0,360.0,9,1,3,3,3,2,4,3,3,3,5.0,3.0,3.0,3.0,3.0,3.0,3,1,2,1,3,"a,b,d,c,e",4,4,5,2,3,4,2,1,1,2,2,3,4,2,4,2,4,2,,,,3,3,3,3,3,3,3,2,2,5.0,1.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,2,2,2,2
239,1.0097,05-Dec-2014 22:54:55,06-Dec-2014 02:27:20,212,9,"b,a",1,2,1,1,10,2,2,5,4,1,450.0,10,1,2,6,3,1,510.0,10,3,7,2,630.0,435.0,7,4,4,4,1,1,4,2,2,5,,,,,,,3,3,2,1,3,"a,b,d,c,e",4,4,4,2,2,2,2,4,1,2,1,1,2,1,2,2,3,2,,,,2,2,2,2,2,2,2,2,2,3.0,2.0,,,,,,,,,,,,,,1,1,1,1
240,1.1794,05-Dec-2014 22:55:18,05-Dec-2014 23:05:00,9,3,"b,a",2,2,2,2,11,1,2,6,3,1,450.0,11,1,2,6,3,1,450.0,7,1,7,1,420.0,420.0,6,1,4,4,1,1,5,1,1,5,,,,,,,1,1,1,1,1,"a,b,d,e,c",4,4,5,2,2,1,2,3,1,3,2,1,1,1,2,2,4,2,,,,2,2,2,2,2,2,1,1,1,,,,,,,,,,,,,,,,1,1,2,2
241,0.7,05-Dec-2014 23:00:48,05-Dec-2014 23:08:41,7,9,"a,b",2,3,2,3,11,2,2,7,3,1,495.0,12,1,1,9,1,1,540.0,6,1,7,1,360.0,420.0,6,1,3,3,3,1,4,3,3,3,5.0,3.0,-1.0,3.0,3.0,2.0,2,1,2,1,3,"a,b,c,e,d",3,4,4,2,3,1,2,3,1,4,2,3,3,2,3,2,3,2,,,,3,3,3,3,3,3,2,2,1,4.0,2.0,,,,,,,,,,,,,,2,1,1,2
242,1.2613,05-Dec-2014 23:02:56,05-Dec-2014 23:11:17,8,9,"a,b",2,2,2,2,8,1,2,5,1,1,540.0,11,1,2,9,1,1,600.0,7,1,7,1,420.0,420.0,8,1,2,2,3,3,2,4,4,2,4.0,2.0,3.0,3.0,3.0,2.0,1,1,3,2,3,"a,b,c,d,e",3,3,2,3,4,4,2,2,2,3,2,3,3,2,3,2,4,2,,,,3,3,3,3,3,3,5,4,1,11.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,4,4,4,3
243,1.4888,05-Dec-2014 23:04:18,05-Dec-2014 23:18:56,14,9,"b,a",3,3,3,3,8,3,2,4,1,1,450.0,8,3,2,4,1,1,450.0,8,1,8,1,480.0,480.0,8,1,4,4,1,1,5,1,1,4,,,,,,,1,1,1,1,1,"a,b,d,e,c",5,4,5,2,3,1,3,1,1,3,1,4,5,3,5,4,4,2,,,,2,1,1,4,2,3,1,1,1,,,,,,,,,,,,,,,,1,1,1,4
244,0.8893,05-Dec-2014 23:06:55,05-Dec-2014 23:27:03,20,9,"b,a",2,2,2,2,10,1,2,5,3,1,450.0,10,1,2,5,3,1,450.0,7,2,7,2,435.0,435.0,7,2,5,5,1,1,5,2,1,5,,,,,,,4,1,1,1,1,"a,b,d,e,c",5,5,5,1,1,1,1,1,1,2,1,4,5,1,5,3,4,2,,,,3,2,2,4,1,3,1,1,1,,,,,,,,,,,,,,,,4,4,4,2
245,0.5339,05-Dec-2014 23:08:43,05-Dec-2014 23:18:55,10,9,"b,a",2,2,2,2,10,1,2,6,3,1,510.0,9,1,2,6,3,1,570.0,7,2,7,2,435.0,435.0,8,1,4,4,2,2,4,2,2,4,,,,,,,1,1,2,1,1,"a,b,e,d,c",4,4,4,2,2,2,2,1,1,1,1,1,2,1,2,3,4,2,,,,4,3,3,4,3,3,4,2,1,9.0,2.0,,,,,,,,,,,,,,4,1,4,1
246,0.7523,05-Dec-2014 23:10:25,05-Dec-2014 23:30:07,19,9,"b,a",2,2,2,2,11,-1,2,6,-1,1,420.0,11,-1,2,6,-1,1,420.0,7,1,7,1,420.0,420.0,6,1,4,4,1,2,4,2,2,4,,,,,,,1,1,2,1,2,"a,b,c,d,e",4,4,4,2,2,2,1,1,1,3,1,4,4,3,4,3,4,2,,,,3,3,3,3,3,3,1,1,1,,,,,,,,,,,,,,,,2,1,1,2
248,0.4808,05-Dec-2014 23:12:47,05-Dec-2014 23:18:38,5,4,"b,a",1,1,1,1,2,-1,1,12,-1,2,600.0,2,-1,1,12,-1,2,600.0,10,1,10,1,600.0,600.0,9,1,5,5,1,1,5,2,2,5,,,,,,,1,1,1,1,1,"a,b,c,e,d",5,5,5,1,1,1,1,1,1,1,1,1,1,2,5,2,4,2,,,,4,4,4,4,4,4,1,1,1,,,,,,,,,,,,,,,,1,1,1,1
249,1.019,05-Dec-2014 23:16:59,05-Dec-2014 23:38:36,21,9,"b,a",4,3,4,2,-1,-1,-1,-1,-1,-1,,10,2,2,6,2,1,480.0,-1,1,-1,1,,,7,3,5,5,1,1,4,1,1,5,,,,,,,3,1,1,1,1,"a,b,d,e,c",5,5,1,1,1,2,1,1,1,1,1,4,4,2,4,4,4,2,,,,3,4,3,4,3,4,4,4,2,8.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,5,4,4,3
250,1.281,05-Dec-2014 23:18:35,05-Dec-2014 23:35:53,17,4,"b,a",2,2,2,2,11,1,2,8,1,1,540.0,11,3,2,9,1,1,570.0,8,3,9,1,510.0,540.0,9,1,4,4,3,1,4,2,1,4,1.0,3.0,3.0,3.0,3.0,3.0,1,1,3,2,4,"a,b,d,c,e",4,4,4,3,3,2,3,3,2,2,1,2,2,2,2,2,3,2,,,,2,2,2,3,2,2,1,1,1,,,,,,,,,,,,,,,,1,2,2,1
251,1.0079,05-Dec-2014 23:18:48,05-Dec-2014 23:35:56,17,12,"a,b",3,4,3,3,7,4,1,12,3,2,285.0,10,3,2,6,3,1,480.0,5,1,8,1,300.0,480.0,8,1,3,4,3,1,3,3,2,3,1.0,3.0,3.0,3.0,3.0,4.0,2,1,2,1,3,"a,b,e,c,d",4,4,4,5,2,2,3,3,3,4,2,2,3,1,1,1,2,2,,,,1,3,3,3,4,2,4,3,2,9.0,1.0,5.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,2.0,2,2,2,1
252,0.7028,05-Dec-2014 23:22:35,05-Dec-2014 23:32:44,10,9,"b,a",3,3,3,2,9,3,2,5,3,1,480.0,9,3,2,5,3,1,480.0,7,1,7,1,420.0,420.0,7,1,3,4,2,2,4,2,3,4,5.0,4.0,3.0,3.0,3.0,3.0,2,1,2,1,2,"a,b,d,e,c",4,4,4,2,3,2,1,2,1,3,2,2,3,2,3,1,4,2,,,,3,3,4,3,4,2,1,1,1,,,,,,,,,,,,,,,,2,2,1,2
253,0.6477,05-Dec-2014 23:24:35,05-Dec-2014 23:43:19,18,1,"a,b",3,2,3,4,2,1,1,9,1,1,420.0,3,1,1,10,1,1,420.0,6,3,6,2,390.0,375.0,7,4,2,3,3,2,3,3,2,3,4.0,2.0,3.0,3.0,4.0,3.0,2,1,2,1,2,"a,b,c,d,e",3,3,4,2,3,3,1,2,1,1,1,4,4,1,3,3,4,2,,,,2,3,3,3,3,2,3,2,2,8.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2,2,2
254,2.1134,05-Dec-2014 23:27:53,06-Dec-2014 00:40:23,72,9,"a,b",2,2,2,2,9,1,2,5,1,1,480.0,10,1,2,7,1,1,540.0,7,3,9,2,450.0,555.0,7,3,4,4,3,1,5,3,2,4,5.0,4.0,3.0,3.0,4.0,4.0,4,1,1,1,1,"a,b,e,c,d",4,4,5,2,1,3,1,1,1,2,3,2,1,1,4,3,4,2,,,,2,2,2,3,3,2,3,3,2,9.0,1.0,5.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3,3,3,1
255,0.7414,05-Dec-2014 23:29:00,05-Dec-2014 23:43:53,14,12,"b,a",5,5,5,3,7,1,2,7,3,1,750.0,7,1,2,7,3,1,750.0,12,3,12,3,750.0,750.0,12,1,1,1,5,1,3,3,5,1,5.0,2.0,1.0,1.0,1.0,1.0,4,4,4,3,4,"a,b,e,d,c",1,1,4,2,3,5,3,1,1,1,1,2,2,2,4,2,3,1,1.0,2.0,2.0,2,1,1,1,1,1,5,5,5,11.0,1.0,5.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,5,5,4,4
256,0.8567,05-Dec-2014 23:32:25,05-Dec-2014 23:41:57,9,3,"a,b",2,2,2,2,12,-1,1,8,1,-1,,12,1,1,8,1,1,480.0,7,1,9,1,420.0,540.0,7,1,3,3,2,2,3,2,2,4,5.0,3.0,3.0,3.0,3.0,2.0,1,1,2,1,2,"a,b,e,d,c",3,2,4,2,3,2,2,2,3,2,2,3,2,3,3,3,4,2,,,,4,4,3,4,4,4,1,1,1,,,,,,,,,,,,,,,,1,1,1,1
257,2.907,05-Dec-2014 23:34:52,05-Dec-2014 23:41:34,6,7,"a,b",3,-1,3,3,9,3,2,9,3,1,720.0,8,3,2,6,4,1,615.0,3,3,4,3,210.0,270.0,4,3,3,4,2,4,3,2,3,3,2.0,2.0,3.0,2.0,3.0,2.0,3,2,3,2,3,"a,b,d,e,c",3,2,3,2,3,4,3,2,3,3,2,4,3,2,3,3,3,2,,,,2,3,2,3,3,3,3,3,3,6.0,2.0,,,,,,,,,,,,,,2,3,3,2
258,0.664,05-Dec-2014 23:36:25,05-Dec-2014 23:52:32,16,9,"b,a",3,3,3,3,9,3,2,5,1,1,450.0,9,3,2,5,1,1,450.0,4,1,4,1,240.0,240.0,7,1,1,1,4,4,1,4,4,1,4.0,3.0,2.0,2.0,3.0,3.0,1,4,3,2,3,"a,b,c,e,d",2,2,5,4,4,2,2,2,2,3,4,2,3,3,2,3,3,1,1.0,2.0,2.0,3,3,3,3,3,2,1,1,1,,,,,,,,,,,,,,,,1,1,1,2
259,1.6138,05-Dec-2014 23:36:49,05-Dec-2014 23:43:28,6,3,"b,a",3,3,3,2,10,1,1,6,1,2,480.0,1,1,1,11,1,1,600.0,7,3,10,1,450.0,600.0,8,3,2,2,3,1,2,1,2,4,5.0,2.0,2.0,2.0,2.0,3.0,1,1,3,2,4,"a,b,e,c,d",3,2,2,2,2,1,1,1,1,2,3,3,3,1,1,3,4,2,,,,4,4,4,4,4,4,5,5,5,1.0,2.0,,,,,,,,,,,,,,1,1,1,1
260,1.1697,05-Dec-2014 23:37:35,05-Dec-2014 23:46:02,8,9,"a,b",2,3,2,3,11,1,2,7,1,1,480.0,11,1,2,7,1,1,480.0,5,1,5,1,300.0,300.0,8,1,1,1,3,2,3,4,4,2,3.0,3.0,3.0,3.0,3.0,3.0,1,1,4,3,4,"a,b,c,d,e",3,3,3,4,5,1,1,1,1,3,1,1,4,1,2,3,4,2,,,,4,3,3,4,3,3,1,1,1,,,,,,,,,,,,,,,,1,1,1,2
261,1.2091,05-Dec-2014 23:38:57,05-Dec-2014 23:46:54,7,9,"b,a",2,2,2,2,11,1,2,6,3,1,450.0,11,1,2,8,1,1,540.0,7,1,9,1,420.0,540.0,7,1,3,3,3,3,3,3,3,3,1.0,2.0,2.0,2.0,2.0,2.0,2,2,3,2,4,"a,b,d,e,c",3,3,3,3,4,2,1,3,2,2,3,3,3,3,3,2,4,2,,,,2,2,2,2,2,2,3,3,3,8.0,2.0,,,,,,,,,,,,,,1,2,2,2
262,0.8969,05-Dec-2014 23:40:20,06-Dec-2014 00:04:04,23,1,"a,b",2,2,3,2,1,1,1,6,4,1,345.0,10,1,2,8,3,1,630.0,6,3,10,1,390.0,600.0,6,3,3,4,3,2,4,2,2,3,1.0,2.0,3.0,4.0,4.0,4.0,1,1,2,1,3,"a,b,c,e,d",4,4,3,2,2,2,1,1,1,2,3,4,4,1,3,4,4,1,2.0,1.0,2.0,2,3,3,4,4,3,2,2,1,3.0,2.0,,,,,,,,,,,,,,1,1,1,1
263,0.7195,05-Dec-2014 23:43:44,05-Dec-2014 23:49:26,5,9,"b,a",2,2,2,2,8,1,2,4,1,1,480.0,9,1,2,5,1,1,480.0,7,1,8,1,420.0,480.0,8,1,3,3,3,1,3,3,3,4,5.0,3.0,3.0,3.0,3.0,3.0,1,1,2,1,2,"a,b,e,d,c",3,3,3,2,3,1,3,1,1,1,1,3,3,2,4,2,4,2,,,,3,3,3,3,3,3,1,1,1,,,,,,,,,,,,,,,,1,1,1,2
264,1.4888,05-Dec-2014 23:44:54,06-Dec-2014 00:11:04,26,9,"b,a",3,3,4,3,2,1,1,11,2,1,555.0,2,1,1,11,2,1,555.0,7,3,7,1,450.0,420.0,8,1,2,1,4,3,3,3,4,3,5.0,2.0,3.0,3.0,4.0,4.0,1,1,2,1,3,"a,b,c,e,d",3,3,3,2,5,1,1,4,1,3,3,4,5,1,4,4,4,2,,,,3,3,3,4,3,3,1,2,1,,,,,,,,,,,,,,,,1,1,1,2
265,1.0236,05-Dec-2014 23:52:43,06-Dec-2014 00:04:47,12,9,"b,a",2,2,2,1,11,1,2,5,1,1,360.0,11,1,2,7,3,1,510.0,5,3,7,1,330.0,420.0,8,1,3,3,2,2,2,3,3,3,4.0,3.0,3.0,4.0,4.0,4.0,1,1,1,1,1,"a,b,e,c,d",3,3,3,3,2,2,1,1,1,1,1,3,3,2,3,2,4,2,,,,3,3,3,3,3,3,1,1,1,,,,,,,,,,,,,,,,2,1,2,2
266,0.9413,05-Dec-2014 23:59:49,06-Dec-2014 00:09:28,9,9,"b,a",3,5,3,4,2,1,1,8,1,1,360.0,4,1,1,3,1,2,660.0,8,1,8,1,480.0,480.0,7,1,2,1,1,1,2,4,4,2,5.0,1.0,2.0,1.0,1.0,2.0,4,1,4,3,4,"a,b,e,d,c",2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,4,2,,,,2,2,2,2,2,2,5,4,2,11.0,1.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,5,5,5,1
267,0.6022,06-Dec-2014 00:02:16,06-Dec-2014 00:13:15,10,9,"a,b",3,3,3,2,9,1,2,4,2,1,435.0,9,1,2,4,3,1,450.0,6,3,6,3,390.0,390.0,7,3,2,2,4,3,2,4,4,3,5.0,4.0,3.0,3.0,3.0,3.0,1,2,2,1,1,"a,b,e,d,c",2,3,1,4,2,2,1,1,3,3,2,3,3,2,3,2,2,1,1.0,2.0,2.0,3,3,3,3,3,3,1,1,1,,,,,,,,,,,,,,,,4,1,1,2
268,0.7278,06-Dec-2014 00:06:53,06-Dec-2014 00:26:43,19,1,"b,a",2,2,2,2,10,-1,2,6,-1,1,480.0,10,1,2,6,1,1,480.0,7,3,7,3,450.0,450.0,8,1,4,4,2,2,4,2,2,4,,,,,,,2,2,2,1,2,"a,b,e,d,c",4,4,4,2,3,2,2,1,2,2,2,4,3,1,3,1,4,2,,,,3,3,2,2,2,3,3,3,1,5.0,2.0,,,,,,,,,,,,,,1,2,1,2
269,1.5584,06-Dec-2014 00:08:48,06-Dec-2014 00:16:56,8,9,"b,a",2,2,3,3,9,3,2,4,4,1,435.0,11,3,2,9,1,1,570.0,6,4,7,3,405.0,450.0,7,1,2,2,3,3,2,3,2,2,5.0,3.0,3.0,3.0,3.0,3.0,1,1,1,1,3,"a,b,c,d,e",3,3,2,3,3,1,1,1,3,3,5,3,3,2,3,3,4,2,,,,4,4,4,4,4,4,1,1,1,,,,,,,,,,,,,,,,1,1,1,1
270,0.6037,06-Dec-2014 00:09:15,06-Dec-2014 00:17:41,8,9,"a,b",2,2,2,2,10,1,2,6,3,1,510.0,10,1,2,6,3,1,510.0,7,3,7,3,450.0,450.0,8,1,3,4,3,1,4,3,3,4,5.0,3.0,3.0,3.0,3.0,3.0,1,1,2,1,1,"a,b,d,c,e",4,3,4,3,3,2,2,1,1,1,1,1,1,1,2,3,3,2,,,,3,3,3,3,3,3,1,1,1,,,,,,,,,,,,,,,,1,1,1,2
271,1.1355,06-Dec-2014 00:12:07,11-Dec-2014 13:02:24,7970,9,"b,a",3,3,3,3,10,3,2,9,1,1,630.0,11,4,2,8,3,1,525.0,8,3,6,4,510.0,405.0,8,2,3,3,2,1,3,3,2,4,2.0,3.0,3.0,4.0,4.0,3.0,1,1,2,1,2,"a,b,d,c,e",3,3,3,2,3,3,1,1,1,3,3,4,4,3,3,2,4,2,,,,2,2,3,3,3,3,2,2,2,4.0,2.0,,,,,,,,,,,,,,3,2,2,2
272,1.031,06-Dec-2014 00:13:18,06-Dec-2014 00:21:24,8,9,"b,a",2,3,2,2,12,3,1,8,3,1,480.0,11,4,2,8,4,1,540.0,6,1,6,1,360.0,360.0,6,1,2,1,3,4,2,4,2,3,5.0,3.0,3.0,3.0,3.0,3.0,1,1,1,1,2,"a,b,d,e,c",3,3,3,3,2,1,3,3,2,2,2,2,2,3,2,-1,2,-1,,,,4,4,4,4,4,4,1,1,1,,,,,,,,,,,,,,,,-1,-1,-1,2
273,0.9041,06-Dec-2014 00:19:11,06-Dec-2014 00:28:07,8,9,"b,a",2,1,3,1,9,2,2,5,3,1,495.0,9,2,2,5,3,1,495.0,8,1,8,1,480.0,480.0,7,1,4,3,2,1,5,1,1,4,1.0,4.0,4.0,3.0,4.0,3.0,1,1,2,1,1,"a,b,d,e,c",5,5,5,1,1,2,1,1,1,1,3,1,2,1,1,2,4,2,,,,3,3,3,3,3,4,1,1,1,,,,,,,,,,,,,,,,1,1,1,1
274,1.2703,06-Dec-2014 00:19:12,06-Dec-2014 00:27:29,8,7,"a,b",2,2,2,2,10,1,2,6,1,1,480.0,11,3,2,8,3,1,540.0,7,3,9,1,450.0,540.0,6,1,3,2,3,4,3,4,5,3,5.0,2.0,3.0,2.0,3.0,2.0,3,1,3,2,4,"a,b,d,e,c",2,3,3,5,4,1,2,3,2,4,2,2,2,2,4,2,4,2,,,,3,2,2,3,2,1,4,2,2,8.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3,3,4,3
275,1.2138,06-Dec-2014 00:20:18,06-Dec-2014 00:37:18,17,9,"a,b",3,1,3,2,12,1,1,5,1,1,300.0,2,1,1,9,1,1,420.0,7,1,10,1,420.0,600.0,6,1,3,3,3,3,3,3,3,3,1.0,3.0,3.0,2.0,3.0,3.0,1,2,3,2,3,"a,b,c,e,d",3,3,2,1,3,2,1,1,1,3,3,1,2,2,3,2,3,1,1.0,2.0,2.0,2,3,3,3,3,3,1,1,1,,,,,,,,,,,,,,,,1,1,1,2
