caseid,market,census,region,qs1,s1t,qs3,q1a,q2a,q3,q3b,q4a,q5a,q6a,weekavg,q6b,q7a,q7b,q7c,q7d,q8a,q8b,q8c,q9a,q9b,q9c,q9d,q9e,q10,q11,q12,q13,q14,q15a,q15b,q15c,q16a,q16b,q16c,q17a,q17b,q18,q19,q20,q21a,slp,q21b,q22a,q22b,q22c,q22d,q22e,q22f,q22g,q23a,q23b,q23c,q23d,q23e,q23f,q24a,q24b,q24c,q24d,q24e,q24f,q24g,q25a,q25b,q25c,q25d,q25e,q26a,q26b,q26c,q27,q28,q2901,q2902,q2903,q2904,q2905,q2906,q30a,q30b,q31a,q31b,q32,q33a,q33b,q33c,q34,q35a,q35b,q35c,q35d,q35e,q35f,q3601,q3602,q3603,q3604,q3605,q3606,q3607,q3608,q3609,q3610,q37,d1,d2a,d2b,d2c,d2d,ttlkid,d3,d4,d501,d502,d503,d504,d6,d7,q38,q39a,q39b,q39c,q39d,q40a,q40b,q40c,q40d
595,Mid2,2,2,1,,1,6,15,6.50,30,7,15,6.00,6.36,00,2,5,4,4,5,99,1,3,3,3,3,3,5,4,4,3,3,2,2,2,,,,1,1,2,,3,5.00,3.00,00,2,3,3,3,3,3,3,2,2,2,2,2,2,4,5,5,1,4,4,5,2,1,1,2,1,1,2,2,000,1,,,,,,,4,4,4,4,3,4,1,2,4,10,10,10,10,10,08,2,,,,,,,,,,1,1,01,01,96,96,1,3,5,2,,,,053,4,3,2,3,3,3,2,1,2,1
723,South4,3,3,1,,1,3,12,6.50,30,5,1,6.00,6.36,00,5,2,3,3,5,1,5,3,3,4,3,2,4,4,4,4,4,2,2,2,,,,5,1,2,,2,5.00,3.00,00,1,2,2,2,2,2,3,1,4,4,4,4,4,3,4,4,1,3,4,4,2,2,2,1,1,1,2,2,0,2,5,,,,,,4,4,4,3,1,4,2,4,4,12,12,12,12,08,08,2,,,,,,,,,,1,4,96, , , ,,3,7,1,,,,060,4,2,4,1,2,2,,,,
627,NE1,1,1,1,,1,6,15,7.00,00,11,4,5.50,6.57,30,3,3,4,4,1,1,3,3,2,2,3,1,2,3,3,4,3,2,2,2,,,,1,1,2,,1,6.00,3.00,00,1,2,3,2,2,2,2,4,5,4,4,4,4,3,4,3,3,2,3,3,2,4,2,2,2,1,1,2,000,2,5,,,,,,4,3,2,1,1,3,3,3,2,08,08,10,10,10,10,2,,,,,,,,,,1,2,96, , , ,,4,6,1,,,,027,98,1,4,4,4,4,1,1,1,1
203,South1,3,3,1,,2,10,1,6.00,00,10,1,6.50,6.14,30,1,5,5,1,1,1,1,4,3,3,3,1,2,4,4,4,3,2,2,2,,,,1,1,2,,1,7.00,1.00,00,3,3,3,3,3,3,2,4,4,4,4,4,4,2,4,3,3,3,4,4,1,1,1,3,1,2,2,2, ,,,,,,,,4,4,4,1,3,4,3,3,4,08,08,10,10,08,08,7,,,,,,,,,,,1,96, , , ,,2,5,1,,,,067,3,2,1,4,3,1,2,2,2,2
233,NE2,1,1,1,,1,11,6,6.16,11,11,4,6.50,6.26,30,1,1,2,5,5,1,2,4,4,4,4,4,4,1,2,3,3,2,2,2,,,,1,1,2,,1,8.00,1.00,00,2,2,1,1,2,2,2,4,3,2,4,4,4,3,4,4,3,3,4,3,2,1,3,4,99,1,2,2,01,3,1,,,,,,4,4,4,1,6,3,2,3,3,18,16,12,18,24,16,2,,,,,,,,,,3,2,01,96,96,01,1,4,6,1,,,,028,3,3,1,2,1,3,,,,
927,South5,3,3,1,,1,9,1,5.00,00,12,3,8.00,5.86,00,5,5,4,3,1,1,1,3,3,4,3,1,5,3,3,4,4,2,2,2,,,,1,1,2,,1,2.50,3.00,30,3,4,3,3,4,3,4,3,5,5,1,3,2,5,5,5,4,3,5,4,1,1,1,1,1,2,2,2, ,,,,,,,,4,3,4,1,3,4,1,4,3,08,12,09,10,10,09,2,,,,,,,,,,1,2,96, , , ,,5,7,5,,,,027,7,1,3,4,4,3,2,2,2,2
764,South4,3,3,1,,1,2,15,4.00,00,13,4,9.00,5.43,00,2,2,1,5,4,2,1,2,2,2,3,3,3,2,2,3,3,2,2,2,,,,1,1,2,,1,4.00,2.00,00,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,3,1,5,2,2,2,1,2,1,1,2,005,3,6,,,,,,2,2,3,2,3,3,3,2,4,08,08,08,08,08,08,2,,,,,,,,,,4,2,96, , , ,,4,3,1,,,,020,1,1,1,4,1,3,2,2,2,2
36,NE2,1,1,1,,2,5,12,5.00,00,9,1,8.00,5.86,00,3,2,1,2,5,1,2,4,2,4,4,2,4,4,4,4,4,2,2,2,,,,1,1,2,,1,4.00,3.00,00,2,2,2,2,2,2,2,2,5,2,4,3,5,3,2,4,4,4,4,3,96,96,96,96,96,,,, ,,,,,,,,4,3,3,4,1,4,2,3,3,12,08,16,16,16,08,1,,,,,,,,,,4,1,03,96,01,02,,5,6,5,,,,037,7,1,3,3,1,2,2,1,2,2
762,Mid4,2,2,1,,1,8,4,5.00,00,12,4,8.00,5.86,00,1,2,1,2,2,5,1,3,3,4,4,2,4,4,3,4,3,2,2,2,,,,2,2,2,,3,4.00,3.00,00,2,2,4,2,2,2,2,2,3,2,4,3,3,4,4,5,3,4,5,5,2,1,1,2,5,1,1,2,002,2,6,,,,,,1,4,4,4,3,2,2,99,3,10,07,12,09,12,09,2,,,,,,,,,,1,2,96, , , ,,4,5,1,,,,026,2,3,1,2,1,2,,,,
881,Mid5,2,2,1,,1,6,1,6.00,00,11,3,7.00,6.29,00,2,2,3,1,5,99,1,4,4,4,4,2,5,4,4,3,3,2,2,2,,,,1,1,1,2,1,4.00,3.00,00,5,2,1,2,2,1,3,2,4,3,4,3,4,4,3,3,1,3,4,4,96,96,96,96,96,,,, ,,,,,,,,3,4,4,2,5,3,1,4,3,12,08,08,08,08,08,5,,,,,,,,,,,3,01,01,96,96,1,2,2,1,,,,039,1,3,1,2,2,2,,,,
989,West4,4,4,1,,1,14,6,6.00,00,14,6,7.00,6.29,00,2,2,2,3,4,1,1,3,3,3,2,1,4,3,3,4,3,2,2,2,,,,1,1,2,,1,4.00,3.00,00,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,5,3,4,4,5,1,1,1,2,2,2,2,2, ,,,,,,,,1,2,3,2,5,3,3,1,3,10,10,10,10,12,10,2,3,,,,,,,,,3,1,96, , , ,,4,3,5,,,,038,5,2,2,2,1,1,,,,
3,South1,3,3,1,,1,4,15,6.00,00,9,3,7.00,6.29,00,1,4,2,4,99,1,1,3,3,99,2,2,3,2,2,3,3,2,2,2,,,,1,1,1,2,2,5.00,3.00,00,2,2,3,2,3,2,3,1,4,3,4,2,4,3,2,3,3,4,2,4,3,2,2,4,3,1,1,2,020,4,3,,,,,,4,3,4,2,3,4,1,4,4,08,08,08,08,10,10,2,,,,,,,,,,1,4,96, , , ,,3,2,1,,,,029,3,3,1,1,1,2,,,,
194,Mid2,2,2,1,,1,5,1,6.00,00,8,2,7.00,6.29,00,2,2,2,3,2,1,1,3,3,3,4,1,5,3,3,4,4,2,2,2,,,,1,1,2,,1,5.00,3.00,00,2,3,3,3,3,3,3,1,4,5,2,4,4,5,4,4,4,3,4,4,1,1,1,1,1,2,2,2, ,,,,,,,,2,4,3,2,3,4,3,2,4,10,10,10,10,08,08,2,,,,,,,,,,1,1,96, , , ,,4,4,1,,,,046,3,5,1,1,1,1,,,,
506,Mid3,2,2,1,,2,5,13,6.00,00,7,13,7.00,6.29,00,1,1,1,1,2,1,1,98,1,1,1,4,3,4,4,4,4,2,2,2,,,,1,1,2,,2,5.00,3.00,00,3,5,99,98,98,99,1,1,1,1,98,5,98,5,5,5,1,5,3,5,1,1,5,1,5,2,2,2, ,,,,,,,,4,4,4,3,5,3,3,3,4,10,8,0,8,10,8,7,,,,,,,,,,,6,96, , , ,,4,2,1,,,,080,99,3,1,1,1,1,,,,
623,Mid4,2,2,1,,2,4,14,6.00,00,9,15,7.00,6.29,00,3,2,2,2,2,1,1,3,3,2,3,1,4,4,3,4,4,2,2,2,,,,1,1,2,,2,5.00,3.00,00,3,3,3,2,2,2,3,2,4,3,3,4,4,5,4,4,4,3,4,4,2,2,1,3,5,2,2,2, ,,,,,,,,3,3,4,2,3,4,3,3,3,10,08,08,10,10,08,2,,,,,,,,,,1,1,04,02,01,01,4,4,3,1,,,,046,98,3,3,3,2,3,2,1,1,2
808,South4,3,3,1,,1,6,14,6.00,00,9,1,7.00,6.29,00,4,4,4,2,99,2,2,3,3,3,3,3,1,4,3,4,4,2,2,2,,,,2,1,2,,1,5.00,3.00,00,4,3,1,3,3,4,3,4,3,3,4,4,3,3,4,3,4,3,4,3,1,1,1,1,1,2,2,2, ,,,,,,,,3,3,4,4,3,4,4,4,3,10,08,08,08,08,12,2,,,,,,,,,,1,1,96, , , ,,2,5,1,,,,068,99,4,3,2,1,1,,,,
910,Mid2,2,2,1,,1,8,15,6.00,00,9,15,7.00,6.29,00,2,4,3,3,5,99,5,4,4,4,3,2,3,4,3,4,4,2,2,2,,,,1,1,1,2,3,5.00,3.00,00,2,2,3,3,2,2,2,1,5,4,4,4,3,4,4,4,4,3,4,3,3,1,2,2,2,1,1,2,002,3,5,,,,,,1,4,2,3,2,3,3,2,4,12,08,12,12,12,10,2,,,,,,,,,,2,1,96, , , ,,4,7,1,,,,041,98,1,4,4,4,4,2,1,1,2
127,Mid1,2,2,1,,2,6,1,6.50,30,99,1,6.50,6.50,30,1,1,2,1,99,1,2,4,99,4,3,4,4,3,3,4,4,2,2,2,,,,1,1,2,,2,5.00,3.00,00,2,3,3,3,3,3,3,2,1,4,4,1,5,5,5,4,5,3,4,5,1,1,1,1,1,2,2,2, ,,,,,,,,3,4,3,2,3,4,1,4,3,08,08,12,08,10,06,7,,,,,,,,,,,6,96, , , ,,3,3,1,,,,066,98,4,1,1,1,1,,,,
470,South3,3,3,1,,1,8,13,6.50,30,8,13,6.50,6.50,30,1,2,4,2,5,2,1,4,4,4,4,3,3,3,3,3,3,2,2,2,,,,1,1,2,,1,5.00,3.00,00,2,2,2,2,2,4,1,2,4,2,4,4,4,2,2,2,3,3,2,3,2,1,2,2,3,2,2,2, ,,,,,,,,3,3,4,3,6,3,2,2,4,8,8,10,8,8,10,7,,,,,,,,,,,6,96, , , ,,3,6,1,,,,082,3,3,2,2,2,2,,,,
253,South1,3,3,1,,1,6,1,7.00,00,8,4,6.00,6.71,00,1,1,1,1,1,1,1,3,3,3,3,3,4,4,3,4,4,2,2,2,,,,1,1,2,,2,5.00,3.00,00,1,1,2,1,1,1,1,4,3,2,4,1,4,4,4,5,4,5,5,5,2,1,1,1,1,1,2,2,005,2,99,,,,,,99,4,3,2,3,4,3,2,4,08,06,12,12,08,08,2,,,,,,,,,,1,2,96, , , ,,5,6,1,,,,033,4,99,1,1,1,1,,,,
665,South5,3,3,1,,2,13,1,7.00,00,7,1,6.00,6.71,00,2,2,2,1,5,99,99,3,99,3,4,2,4,4,4,4,4,2,2,2,,,,2,2,2,,2,5.00,3.00,00,1,3,2,2,2,2,2,1,3,1,5,2,2,3,5,5,3,4,5,5,2,1,1,2,99,2,2,2, ,,,,,,,,2,4,4,2,5,4,4,1,4,08,08,12,08,08,08,5,,,,,,,,,,,1,96, , , ,,2,3,2,,,,068,4,2,3,3,3,2,2,1,2,2
866,Mid5,2,2,1,,1,8,14,6.00,00,8,14,7.00,6.29,00,2,4,3,3,5,1,5,3,4,3,4,3,2,4,4,4,4,2,2,2,,,,2,1,2,,2,5.50,3.00,30,1,3,3,3,3,3,3,3,4,3,3,4,3,3,3,4,1,3,3,4,2,1,1,1,2,2,2,2, ,,,,,,,,3,4,4,3,3,4,1,4,3,08,10,99,10,08,08,7,3,,,,,,,,,1,1,01,01,96,96,1,5,7,1,,,,074,4,3,1,1,1,1,,,,
201,South1,3,3,1,,2,2,10,5.00,00,9,13,8.00,5.86,00,2,2,2,5,2,1,2,4,4,4,4,2,3,3,3,4,4,2,2,2,,,,1,1,2,,2,6.00,1.00,00,2,1,1,1,1,2,2,4,4,2,4,2,4,3,4,4,1,5,5,5,3,3,2,4,3,1,1,2,3,2,6,,,,,,4,3,3,3,3,4,2,4,4,10,10,10,10,08,08,2,,,,,,,,,,1,1,02,96,01,01,2,4,5,2,,,,028,3,3,1,2,2,2,,,,
483,South3,3,3,1,,2,2,11,5.00,00,9,15,8.00,5.86,00,1,1,1,3,5,1,3,3,3,3,3,3,3,4,4,4,4,2,2,2,,,,1,1,2,,3,6.00,1.00,00,2,2,2,2,2,2,5,4,4,4,4,4,5,2,3,4,3,5,5,4,1,1,3,3,3,2,2,2, ,,,,,,,,3,4,4,4,3,1,1,1,4,08,08,08,08,08,08,2,,,,,,,,,,1,1,96, , , ,,4,3,2,,,,048,4,4,1,1,1,1,,,,
710,NE3,1,1,1,,1,2,12,5.00,00,9,1,8.00,5.86,00,4,5,4,4,2,2,2,4,4,4,3,3,2,4,4,3,3,2,2,2,,,,1,1,2,,4,6.00,1.00,00,2,3,3,3,2,2,2,3,4,4,4,2,4,2,3,3,2,3,3,3,4,2,2,2,4,1,1,2,000,3,3,,,,,,4,4,2,2,3,4,1,4,3,08,08,08,08,08,08,2,,,,,,,,,,4,2,02,01,01,96,2,3,5,2,,,,036,3,1,3,2,3,2,,,,
924,South5,3,3,1,,1,4,11,5.00,00,7,13,8.00,5.86,00,3,3,1,3,5,99,1,3,3,3,3,3,3,3,3,4,4,2,2,2,,,,1,1,2,,2,6.00,1.00,00,3,3,3,3,3,3,3,99,5,3,3,3,5,3,3,5,1,3,5,3,2,2,2,2,2,2,2,2, ,,,,,,,,99,3,3,3,3,4,2,4,3,12,06,12,12,08,08,2,,,,,,,,,,1,1,02,01,96,01,2,3,6,1,,,,043,6,4,3,2,1,3,,,,
19,Mid1,2,2,1,,1,2,10,6.00,00,2,10,7.00,6.29,00,1,4,5,5,2,2,1,2,4,3,4,1,2,99,99,99,99,2,2,2,,,,2,2,2,,1,6.00,2.00,00,3,3,3,2,99,99,99,1,99,3,4,2,99,2,4,3,1,4,2,3,1,1,1,2,99,2,2,2, ,,,,,,,,4,4,99,2,3,4,1,4,3,12,06,06,10,08,10,2,,,,,,,,,,1,2,96, , , ,,3,7,1,,,,049,6,5,1,1,99,4,,,,
266,South2,3,3,1,,2,4,14,6.00,00,6,15,7.00,6.29,00,2,2,1,2,1,1,1,4,4,4,3,3,4,4,4,4,4,2,2,2,,,,1,1,2,,1,6.00,2.00,00,1,2,2,2,2,2,2,4,5,2,4,4,5,4,4,5,3,3,5,3,1,1,2,4,2,2,2,2, ,,,,,,,,3,4,2,2,1,3,3,2,2,05,08,08,08,08,08,2,,,,,,,,,,1,1,02,02,96,96,2,5,6,1,,,,045,5,2,3,3,3,3,2,1,2,2
360,South3,3,3,1,,1,4,12,6.00,00,4,15,7.00,6.29,00,1,2,2,2,5,99,1,4,3,4,3,2,3,3,3,3,4,2,2,2,,,,1,5,2,,3,6.00,2.00,00,1,2,2,2,2,1,2,1,5,5,5,5,5,3,5,4,3,2,5,4,2,2,1,2,1,1,1,2,002,2,6,,,,,,3,4,4,3,3,4,1,4,4,10,12,12,12,10,12,2,,,,,,,,,,1,1,01,01,96,96,1,4,7,1,,,,052,6,3,1,1,1,1,,,,
381,NE3,1,1,1,,2,8,1,6.00,00,7,1,7.00,6.29,00,2,2,2,2,1,1,1,3,2,4,2,2,3,3,3,3,2,2,2,2,,,,1,1,2,,3,6.00,2.00,00,2,2,2,2,2,2,2,3,5,2,5,4,5,4,4,5,4,3,5,4,2,2,1,2,1,1,2,2,01,1,,,,,,,3,4,4,3,1,4,4,3,4,12,12,12,12,12,08,7,,,,,,,,,,,1,03,96,02,01,3,4,6,98,,,,036,5,1,4,4,4,4,2,1,2,2
578,NE5,1,1,1,,2,2,13,6.00,00,5,14,7.00,6.29,00,3,3,2,4,99,2,2,3,3,3,4,2,3,4,3,4,4,2,2,2,,,,3,1,2,,3,6.00,2.00,00,2,3,3,2,2,2,2,4,4,4,4,4,3,5,4,4,4,4,4,4,2,1,2,1,99,1,2,2,00,2,4,,,,,,4,3,4,2,3,4,2,3,4,08,08,04,10,08,08,2,,,,,,,,,,1,1,96, , , ,,4,3,1,,,,054,5,3,2,3,3,3,2,1,1,1
622,South1,3,3,1,,2,3,14,6.00,00,7,1,7.00,6.29,00,1,1,1,2,5,1,1,4,4,4,4,4,4,1,2,3,3,2,2,2,,,,1,1,2,,2,6.00,2.00,00,1,1,1,1,2,1,1,5,4,3,4,4,4,4,5,4,3,3,4,4,1,2,2,2,2,2,2,2, ,,,,,,,,4,4,4,1,3,4,1,1,4,12,10,12,12,08,08,3,4,,,,,,,,,1,1,96, , , ,,4,5,1,,,,040,2,3,3,2,2,2,,,,
631,NE4,1,1,1,,2,5,14,6.00,00,5,15,7.00,6.29,00,3,3,3,1,99,1,3,4,4,3,3,3,4,4,4,4,4,2,2,2,,,,1,1,2,,1,6.00,2.00,00,99,5,99,99,99,1,4,4,5,1,4,2,1,5,5,5,3,5,5,5,96,96,96,96,96,,,, ,,,,,,,,4,4,3,99,3,4,1,4,4,08,08,08,08,08,08,7,,,,,,,,,,,6,96, , , ,,5,5,1,,,,080,98,4,1,2,1,1,,,,
735,NE3,1,1,1,,1,5,14,6.00,00,9,3,7.00,6.29,00,2,2,3,3,99,1,1,3,3,3,3,2,3,4,3,3,3,2,2,2,,,,2,1,2,,2,6.00,2.00,00,2,3,3,2,3,3,3,3,3,4,3,4,4,4,4,5,2,4,5,4,2,2,2,2,2,2,2,2, ,,,,,,,,3,4,3,2,3,4,2,4,3,06,06,06,06,06,06,6,2,,,,,,,,,1,1,01,96,96,01,1,4,6,1,,,,042,5,1,3,3,4,3,1,2,1,2
807,Mid3,2,2,1,,1,6,15,6.00,00,8,1,7.00,6.29,00,2,2,2,3,4,2,1,3,3,3,3,2,4,2,2,3,4,2,2,2,,,,1,1,2,,2,6.00,2.00,00,2,2,3,3,2,2,3,2,4,2,4,2,4,3,2,3,2,2,3,5,2,2,3,2,2,1,1,2,01,2,3,,,,,,3,4,3,2,3,3,3,2,4,12,10,12,08,10,10,2,,,,,,,,,,1,4,96, , , ,,3,6,1,,,,056,3,3,1,1,1,2,,,,
833,West5,4,4,1,,1,9,1,6.00,00,7,14,7.00,6.29,00,3,2,2,3,5,1,1,4,4,4,4,2,3,3,2,4,3,2,2,2,,,,1,1,2,,2,6.00,2.00,00,1,1,2,3,2,2,1,4,5,4,5,4,5,3,4,4,3,3,4,4,2,2,2,1,2,1,2,2,000,2,5,,,,,,4,4,3,3,2,4,1,4,4,12,09,10,10,10,08,2,,,,,,,,,,1,1,03,96,02,01,3,4,6,1,,,,998,98,3,1,1,1,1,,,,
896,West1,4,4,1,,2,12,3,6.00,00,13,14,7.00,6.29,00,5,1,5,2,5,1,1,3,3,3,99,3,3,2,99,4,4,2,2,2,,,,1,1,2,,2,6.00,2.00,00,3,3,3,2,3,3,3,2,4,3,3,3,3,3,4,3,3,2,3,4,2,2,2,1,2,2,2,2, ,,,,,,,,3,3,3,3,3,3,2,3,4,12,12,20,20,20,12,5,,,,,,,,,,,1,01,96,96,01,1,4,3,1,,,,019,98,98,98,98,98,98,,,,
995,West6,4,4,1,,1,2,10,6.00,00,12,15,7.00,6.29,00,5,3,3,4,5,2,2,4,4,4,4,1,3,4,4,3,2,2,2,2,,,,1,1,2,,1,6.00,2.00,00,5,5,5,5,5,5,5,1,5,5,5,5,5,4,4,4,2,3,4,3,5,4,2,5,5,1,1,2,000,4,6,,,,,,3,4,4,4,3,4,1,4,4,10,09,08,11,10,08,2,,,,,,,,,,1,2,03,96,02,01,3,3,2,3,,,,022,2,5,4,2,3,3,,,,
256,NE2,1,1,1,,1,6,15,6.50,30,6,15,6.50,6.50,30,2,2,3,2,99,99,1,3,3,4,4,1,5,4,3,4,4,2,2,2,,,,1,1,2,,3,6.00,3.00,00,2,3,3,2,3,2,2,3,4,4,4,4,4,4,5,5,4,5,5,5,2,1,1,1,2,2,2,2, ,,,,,,,,3,4,4,3,3,4,3,2,3,07,07,07,07,07,07,7,,,,,,,,,,,6,96, , , ,,2,7,1,,,,068,4,5,1,1,1,1,,,,
586,NE5,1,1,1,,1,5,15,6.50,30,5,15,6.50,6.50,30,2,1,1,2,2,1,2,3,3,3,3,2,4,4,3,4,4,2,2,2,,,,1,1,2,,2,6.00,3.00,00,1,2,3,2,1,2,2,3,3,3,3,3,3,4,5,5,5,5,5,5,3,2,2,2,2,1,1,2,006,3,3,,,,,,3,4,4,4,3,4,1,3,3,10,08,10,10,10,10,1,,,,,,,,,,1,1,01,01,96,96,1,4,7,1,,,,046,5,4,1,1,1,1,,,,
610,Mid4,2,2,1,,2,6,14,6.50,30,7,1,6.50,6.50,30,3,4,3,3,1,1,99,4,4,3,3,99,4,4,4,4,4,2,2,2,,,,1,1,2,,2,6.00,3.00,00,1,4,3,2,4,3,5,3,1,4,99,5,5,4,5,4,5,4,5,5,1,1,1,1,2,2,2,2, ,,,,,,,,4,4,4,4,1,4,1,99,99,10,08,99,08,08,08,3,,,,,,,,,,1,1,96, , , ,,5,3,1,,,,056,2,1,3,4,3,2,2,2,2,2
938,South2,3,3,1,,1,7,15,6.50,30,7,15,6.50,6.50,30,2,2,1,2,1,1,1,4,4,4,4,1,5,3,4,4,4,2,2,2,,,,1,1,2,,1,6.00,3.00,00,1,1,2,1,1,2,2,2,4,4,4,3,4,4,4,4,4,4,5,4,1,1,1,1,2,1,2,2,002,1,,,,,,,3,4,4,4,3,3,4,3,4,10,10,10,10,8,8,7,,,,,,,,,,,1,96, , , ,,5,6,1,,,,057,3,5,3,2,1,1,,,,
740,South1,3,3,1,,2,7,1,7.00,00,9,4,6.00,6.71,00,2,4,1,4,99,1,4,4,4,4,4,4,3,4,4,3,3,2,2,2,,,,1,1,2,,3,6.00,3.00,00,2,2,2,2,2,2,2,5,3,99,4,2,3,3,3,3,3,3,3,4,1,2,1,1,2,2,2,2, ,,,,,,,,3,3,4,4,3,4,1,4,4,08,08,08,08,08,08,5,,,,,,,,,,,1,96, , , ,,3,3,1,,,,044,2,2,3,3,3,3,2,1,1,1
801,West4,4,4,1,,2,11,3,7.00,00,11,4,6.00,6.71,00,5,5,2,2,5,4,4,4,1,2,4,3,2,4,4,4,4,2,2,1,,,1,5,4,2,,4,6.00,3.00,00,2,2,3,2,2,2,3,5,2,4,4,1,1,3,4,3,4,3,4,4,2,2,2,4,2,1,2,2,0,2,5,,,,,,4,4,3,2,3,4,2,2,3,10,8,12,8,8,8,5,,,,,,,,,,,1,96, , , ,,2,3,1,,,,058,4,2,4,4,2,4,2,1,1,2
154,NE1,1,1,1,,1,13,4,8.00,00,11,4,5.00,7.14,00,1,1,3,3,1,1,1,4,3,4,4,2,4,4,4,3,3,2,2,2,,,,1,1,2,,3,6.00,3.00,00,4,3,5,3,2,3,3,2,3,5,4,3,99,5,5,5,4,4,5,5,1,1,1,3,1,2,2,2, ,,,,,,,,1,3,3,2,5,4,4,4,4,06,06,08,08,09,07,2,,,,,,,,,,3,2,96, , , ,,5,5,2,,,,029,5,4,1,1,1,1,,,,
997,West6,4,4,1,,1,5,1,6.00,00,9,3,7.00,6.29,00,1,2,2,4,5,2,1,4,3,4,4,1,4,4,3,3,4,2,2,2,,,,1,1,2,,2,6.50,1.00,30,3,2,2,2,2,1,2,2,3,2,4,4,3,2,3,3,4,3,2,3,2,2,3,2,2,1,1,2,1,1,,,,,,,99,3,3,2,3,4,3,2,3,8,08,7,08,8,9,2,,,,,,,,,,1,3,96, , , ,,3,5,1,,,,031,7,1,3,3,4,3,2,1,2,2
621,NE3,1,1,1,,2,4,14,6.50,30,7,14,6.50,6.50,30,1,1,1,1,3,1,1,4,4,4,4,4,3,4,4,4,4,2,2,2,,,,1,1,2,,1,6.50,2.00,30,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,1,1,1,1,1,2,2,2, ,,,,,,,,4,4,4,4,3,4,1,4,4,08,08,08,08,08,08,1,,,,,,,,,,1,1,96, , , ,,4,3,1,,,,072,2,4,1,1,1,1,,,,
78,Mid2,2,2,1,,1,12,3,5.00,00,14,4,8.00,5.86,00,5,5,5,5,3,1,5,4,4,4,4,1,2,4,4,3,4,2,2,1,,,1,5,5,2,,3,7.00,1.00,00,2,1,1,1,1,1,1,1,5,4,4,4,5,3,99,3,4,1,3,4,96,96,96,96,96,,,, ,,,,,,,,3,4,4,3,4,4,1,99,4,10,06,10,08,08,06,8,,,,,,,,,,,4,96, , , ,,2,3,1,,,,044,1,1,4,3,4,4,1,1,1,2
252,South1,3,3,1,,1,5,14,5.00,00,9,1,8.00,5.86,00,2,4,2,4,1,1,1,4,4,3,4,4,3,4,4,3,4,2,2,2,,,,2,1,2,,3,7.00,1.00,00,5,5,4,5,5,5,5,4,4,4,4,4,4,3,4,5,3,4,4,4,1,1,4,1,1,1,2,2,000,2,1,,,,,,2,4,4,3,3,4,3,3,4,15,10,18,18,18,10,4,,,,,,,,,,,1,02,96,01,01,2,3,6,1,,,,040,4,1,3,4,3,4,2,1,2,2
26,South1,3,3,1,,1,2,12,6.00,00,11,14,7.00,6.29,00,4,3,3,4,4,1,1,4,3,3,3,3,3,3,3,4,4,2,2,2,,,,2,1,2,,4,7.00,1.00,00,1,2,3,2,2,1,2,1,4,3,4,4,4,3,3,3,4,3,4,4,4,3,4,4,4,1,1,2,00,3,1,,,,,,3,3,99,2,1,4,3,3,2,10,12,12,12,12,08,2,,,,,,,,,,4,1,04,96,01,03,,5,5,1,,,,028,6,1,3,3,2,3,2,1,2,2
174,Mid1,2,2,1,,2,3,12,6.00,00,5,12,7.00,6.29,00,1,3,3,4,3,1,1,4,4,4,4,3,2,4,4,4,4,2,2,2,,,,4,1,2,,2,7.00,1.00,00,1,1,2,1,1,2,1,5,4,3,5,4,1,3,4,3,3,3,3,3,4,2,2,4,2,2,2,2, ,,,,,,,,99,4,4,1,3,4,2,4,2,08,08,10,08,08,06,5,,,,,,,,,,,1,96, , , ,,5,3,1,,,,059,98,2,1,3,3,3,2,1,2,2
377,South3,3,3,1,,2,4,14,6.00,00,7,15,7.00,6.29,00,2,2,2,4,5,2,2,4,4,4,4,4,2,4,3,4,4,2,2,2,,,,2,1,2,,4,7.00,1.00,00,1,2,2,2,1,1,2,2,5,2,4,5,5,2,2,3,3,2,3,3,1,1,2,2,99,1,2,2,000,2,3,,,,,,99,4,3,2,5,4,2,4,4,08,08,08,08,08,06,5,9,,,,,,,,,,1,02,01,01,96,2,3,4,1,,,,048,5,2,3,3,3,4,2,1,1,1
596,Mid4,2,2,1,,2,2,9,6.00,00,7,11,7.00,6.29,00,2,3,2,2,1,1,1,4,4,3,4,4,4,4,4,4,4,2,2,2,,,,1,1,2,,2,7.00,1.00,00,1,2,2,2,2,2,2,4,4,4,4,4,4,3,5,5,5,5,4,5,2,2,2,2,2,2,2,2, ,,,,,,,,3,4,4,3,3,4,4,4,3,8,6,10,10,8,08,5,,,,,,,,,,,1,02,96,01,01,2,3,3,1,,,,050,3,1,2,3,2,2,1,1,2,1
933,Mid1,2,2,1,,1,5,6,6.00,00,9,1,7.00,6.29,00,1,1,1,4,99,99,1,4,4,4,4,99,3,3,3,3,99,2,2,2,,,,1,1,2,,3,7.00,1.00,00,1,1,1,1,1,1,1,5,5,2,5,4,5,3,4,4,4,4,4,4,3,3,1,1,99,1,2,2,04,3,5,,,,,,4,4,4,3,3,4,3,3,4,12,12,12,12,12,08,2,,,,,,,,,,1,1,02,02,96,96,2,5,7,1,,,,048,5,1,3,3,1,3,2,1,2,2
