caseid,market,census,region,qs1,s1t,qs3,q1a,q2a,q3,q3b,q4a,q5a,q6a,weekavg,q6b,q7a,q7b,q7c,q7d,q8a,q8b,q8c,q9a,q9b,q9c,q9d,q9e,q10,q11,q12,q13,q14,q15a,q15b,q15c,q16a,q16b,q16c,q17a,q17b,q18,q19,q20,q21a,slp,q21b,q22a,q22b,q22c,q22d,q22e,q22f,q22g,q23a,q23b,q23c,q23d,q23e,q23f,q24a,q24b,q24c,q24d,q24e,q24f,q24g,q25a,q25b,q25c,q25d,q25e,q26a,q26b,q26c,q27,q28,q2901,q2902,q2903,q2904,q2905,q2906,q30a,q30b,q31a,q31b,q32,q33a,q33b,q33c,q34,q35a,q35b,q35c,q35d,q35e,q35f,q3601,q3602,q3603,q3604,q3605,q3606,q3607,q3608,q3609,q3610,q37,d1,d2a,d2b,d2c,d2d,ttlkid,d3,d4,d501,d502,d503,d504,d6,d7,q38,q39a,q39b,q39c,q39d,q40a,q40b,q40c,q40d
607,South5,3,3,1,,2,5,3,4.00,00,13,4,6.00,4.57,00,5,4,3,5,5,99,2,4,3,3,4,1,2,4,4,3,3,1,1,1,2,2,2,3,1,2,,2,8.00,1.00,00,5,3,2,2,3,3,3,1,4,3,5,4,5,3,1,4,1,1,5,3,2,3,4,2,5,1,2,2,004,3,1,,,,,,2,4,4,1,1,4,4,4,4,08,08,08,08,08,07,2,,,,,,,,,,4,2,96, , , ,,2,2,1,,,,036,1,2,4,3,3,4,1,1,1,2
25,West1,4,4,1,,2,5,1,5.00,00,5,1,5.00,5.00,00,5,5,1,5,5,99,4,4,4,4,4,3,2,4,4,4,4,2,2,2,,,,1,1,2,,5,8.00,1.00,00,2,2,5,2,2,2,2,3,5,2,3,5,3,3,3,3,1,5,4,3,1,1,1,1,1,1,2,2,000,3,2,,,,,,4,4,4,3,3,4,3,4,99,09,09,08,09,08,09,5,,,,,,,,,,,1,03,96,96,03,,1,3,1,,,,024,4,1,4,4,1,4,2,1,2,2
531,South4,3,3,1,,2,2,14,5.00,00,2,15,5.00,5.00,00,2,2,4,3,4,99,3,3,3,3,3,2,4,3,2,3,3,2,2,2,,,,3,3,2,,2,8.00,1.00,00,2,3,3,2,2,3,3,4,4,3,4,4,4,3,4,3,3,3,4,3,3,2,2,4,2,1,1,2,001,2,6,,,,,,3,3,4,3,3,4,4,1,4,10,10,10,10,10,10,5,,,,,,,,,,,1,04,96,02,02,4,4,4,1,,,,032,3,4,2,2,2,2,,,,
535,South4,3,3,1,,1,4,2,5.00,00,3,2,5.00,5.00,00,5,2,2,4,99,99,5,3,2,2,3,2,3,4,3,3,4,2,2,2,,,,1,2,2,,1,8.00,1.00,00,4,5,3,4,4,4,4,2,2,4,2,2,1,4,4,4,4,4,4,5,1,1,1,1,2,2,2,2, ,,,,,,,,4,4,4,4,3,1,3,4,4,08,08,08,08,08,08,7,,,,,,,,,,,2,96, , , ,,4,6,2,,,,059,98,3,2,2,2,2,,,,
717,NE4,1,1,1,,2,11,4,5.00,00,11,3,5.00,5.00,00,1,4,5,5,99,99,1,4,3,3,4,3,2,4,3,1,1,2,2,2,,,,1,1,2,,3,8.00,1.00,00,1,3,3,1,2,1,3,2,5,2,4,5,5,1,3,3,3,3,3,3,3,3,5,4,2,1,2,2,000,3,6,,,,,,4,3,2,1,6,4,2,3,4,08,08,08,08,08,08,2,,,,,,,,,,4,2,96, , , ,,3,5,1,,,,027,2,2,1,3,4,4,2,2,2,2
445,South4,3,3,1,,1,3,11,9.00,00,4,12,1.00,6.71,00,4,2,1,3,2,1,1,4,2,4,3,4,4,4,4,4,4,2,2,2,,,,3,1,2,,5,12.00,1.00,00,1,5,1,5,5,5,2,5,4,5,1,1,5,4,3,4,5,3,4,4,1,1,1,1,1,1,1,2,001,3,4,,,,,,4,4,4,3,3,4,1,4,4,12,12,12,12,12,08,1,,,,,,,,,,1,1,02,96,02,96,2,4,3,1,,,,029,5,1,3,3,1,3,2,1,2,1
883,South5,3,3,1,,1,10,11,5.00,00,11,11,5.00,5.00,00,5,5,5,4,5,5,2,1,4,3,4,2,1,4,4,4,4,2,2,2,,,,5,5,2,,2,99.00,4.00, ,1,1,1,1,1,1,1,1,1,2,1,1,4,1,5,5,3,4,5,5,1,3,4,5,3,2,2,2, ,,,,,,,,3,3,4,4,99,4,2,4,3,07,99,10,08,99,08,8,,,,,,,,,,,1,96, , , ,,1,3,1,,,,082,1,2,4,4,4,3,2,1,2,2
974,South5,3,3,1,,1,3,13,5.00,00,5,1,5.00,5.00,00,3,4,4,5,99,99,1,3,3,3,3,3,1,4,3,3,3,2,2,2,,,,3,1,2,,2,99.00,4.00, ,2,2,2,1,4,2,2,1,4,4,4,3,2,2,4,2,2,4,2,3,1,1,2,1,2,2,2,2, ,,,,,,,,2,4,2,2,1,4,2,4,3,10,08,12,08,08,07,2,,,,,,,,,,1,2,96, , , ,,2,1,1,,,,055,1,1,3,4,3,4,2,1,1,2
748,NE5,1,1,1,,1,2,14,4.50,30,7,7,6.00,4.93,00,3,4,2,5,3,2,2,4,3,4,4,4,2,4,3,3,4,2,2,2,,,,2,1,2,,5,7.00,1.00,00,2,1,3,2,4,2,4,5,1,1,3,5,1,3,3,2,2,1,3,2,2,2,3,5,5,1,2,2,000,5,6,,,,,,3,4,4,4,4,3,3,4,4,16,10,12,12,24,08,2,,,,,,,,,,1,1,96, , , ,,4,2,1,,,,041,4,2,3,2,2,3,,,,
79,Mid2,2,2,1,,2,5,2,6.00,00,3,2,4.50,5.57,30,1,5,1,4,2,1,1,4,1,2,4,2,5,4,4,4,4,2,2,2,,,,1,1,2,,3,8.00,1.00,00,99,3,2,5,4,5,3,2,3,2,2,1,1,2,5,5,4,3,5,4,1,1,2,1,5,2,2,2, ,,,,,,,,99,3,4,3,5,4,1,4,2,12,10,12,08,08,07,1,2,3,8,,,,,,,95,1,96, , , ,,4,3,1,,,,066,98,3,2,1,1,2,,,,
